K,N,M,T,Baseline Cycles,Baseline Performance,WIP Scalar Cycles,WIP Scalar Performance,Josua Cycles,Josua Performance
8,12,12,16,375337.000000,0.930000,306036.000000,1.150000,301343.000000,1.160000
8,12,12,20,478122.000000,0.920000,386694.000000,1.140000,388666.000000,1.130000
8,12,12,24,657089.000000,0.810000,535194.000000,0.990000,522057.000000,1.010000
8,12,12,28,691462.000000,0.890000,563876.000000,1.100000,551799.000000,1.120000
8,12,16,4,105964.000000,0.800000,87754.000000,0.970000,89000.000000,0.960000
8,12,16,8,212803.000000,0.820000,171466.000000,1.020000,172272.000000,1.010000
8,12,16,12,312341.000000,0.840000,275188.000000,0.960000,256558.000000,1.030000
8,12,16,16,420521.000000,0.840000,348749.000000,1.010000,337943.000000,1.040000
8,12,16,20,521910.000000,0.850000,421703.000000,1.050000,424071.000000,1.040000
8,12,16,24,633580.000000,0.840000,513174.000000,1.030000,500910.000000,1.060000
8,12,16,28,749153.000000,0.830000,614190.000000,1.010000,607441.000000,1.020000
8,12,20,4,113647.000000,0.760000,95151.000000,0.910000,97119.000000,0.890000
8,12,20,8,228463.000000,0.770000,186173.000000,0.940000,185436.000000,0.950000
8,12,20,12,331177.000000,0.800000,279391.000000,0.950000,275980.000000,0.960000
8,12,20,16,448495.000000,0.790000,371529.000000,0.950000,372954.000000,0.950000
8,12,20,20,588445.000000,0.750000,470033.000000,0.940000,485287.000000,0.910000
8,12,20,24,699642.000000,0.760000,556239.000000,0.960000,557709.000000,0.950000
8,12,20,28,862782.000000,0.720000,659773.000000,0.940000,667234.000000,0.930000
8,12,24,4,133598.000000,0.660000,103684.000000,0.850000,105340.000000,0.840000
8,12,24,8,244228.000000,0.730000,200718.000000,0.880000,198955.000000,0.890000
8,12,24,12,353202.000000,0.750000,301353.000000,0.880000,297135.000000,0.900000
8,12,24,16,480416.000000,0.740000,397493.000000,0.900000,395131.000000,0.900000
8,12,24,20,631861.000000,0.700000,511513.000000,0.870000,529120.000000,0.840000
8,12,24,24,763113.000000,0.700000,616847.000000,0.870000,613621.000000,0.870000
8,12,24,28,856397.000000,0.730000,716090.000000,0.870000,724422.000000,0.860000
8,12,28,4,129622.000000,0.690000,112199.000000,0.800000,113243.000000,0.790000
8,12,28,8,257682.000000,0.700000,214695.000000,0.830000,211909.000000,0.850000
8,12,28,12,368036.000000,0.730000,320893.000000,0.840000,318369.000000,0.840000
8,12,28,16,502454.000000,0.710000,429545.000000,0.830000,421154.000000,0.850000
8,12,28,20,675250.000000,0.660000,562453.000000,0.790000,576150.000000,0.780000
8,12,28,24,813055.000000,0.660000,656722.000000,0.820000,652274.000000,0.820000
8,12,28,28,946517.000000,0.660000,793764.000000,0.790000,795771.000000,0.790000
8,16,4,4,133856.000000,1.040000,104370.000000,1.330000,121375.000000,1.140000
8,16,4,8,276205.000000,1.070000,214657.000000,1.370000,220462.000000,1.340000
8,16,4,12,406174.000000,1.110000,316786.000000,1.420000,325369.000000,1.380000
8,16,4,16,553892.000000,1.090000,448199.000000,1.350000,461062.000000,1.310000
8,16,4,20,724234.000000,1.050000,584399.000000,1.300000,587145.000000,1.300000
